date,open,high,low,close,volume,volume.1,market_sentiment,news_sentiment
2025-06-27 07:05:00,107559.46,107582.51,107478.9,107506.98,424,0,,
2025-06-27 07:10:00,107506.98,107539.24,107494.82,107515.66,458,0,,
2025-06-27 07:15:00,107513.8,107517.63,107429.11,107430.66,499,0,,
2025-06-27 07:20:00,107436.29,107494.65,107430.26,107490.73,493,0,,
2025-06-27 07:25:00,107490.73,107536.07,107478.14,107495.83,492,0,,
2025-06-27 07:30:00,107495.88,107517.12,107455.2,107508.01,575,0,,
2025-06-27 07:35:00,107506.26,107598.03,107503.77,107545.56,501,0,,
2025-06-27 07:40:00,107545.56,107549.35,107515.46,107545.9,341,0,,
2025-06-27 07:45:00,107545.47,107656.07,107545.47,107635.08,632,0,,
2025-06-27 07:50:00,107636.01,107662.99,107626.98,107643.06,439,0,,
2025-06-27 07:55:00,107643.21,107644.4,107577.04,107581.22,365,0,,
2025-06-27 08:00:00,107581.69,107615.54,107575.32,107600.05,412,0,,
2025-06-27 08:05:00,107600.03,107630.36,107566.34,107580.31,274,0,,
2025-06-27 08:10:00,107580.72,107653.25,107554.16,107619.75,491,0,,
2025-06-27 08:15:00,107619.75,107623.27,107514.96,107520.77,503,0,,
2025-06-27 08:20:00,107524.61,107540.53,107467.85,107481.8,526,0,,
2025-06-27 08:25:00,107481.85,107482.09,107390.86,107403.57,516,0,,
2025-06-27 08:30:00,107402.6,107460.26,107383.6,107393.81,575,0,,
2025-06-27 08:35:00,107393.91,107462.97,107386.11,107442.14,404,0,,
2025-06-27 08:40:00,107442.3,107451.81,107366.67,107423.97,462,0,,
2025-06-27 08:45:00,107423.97,107454.01,107409.0,107423.72,420,0,,
2025-06-27 08:50:00,107425.88,107440.6,107401.41,107408.09,428,0,,
2025-06-27 08:55:00,107408.12,107414.67,107329.6,107330.56,438,0,,
2025-06-27 09:00:00,107330.26,107359.71,107302.13,107348.74,552,0,,
2025-06-27 09:05:00,107348.74,107352.94,107257.83,107283.1,498,0,,
2025-06-27 09:10:00,107281.66,107464.65,107273.2,107441.95,502,0,,
2025-06-27 09:15:00,107442.0,107474.26,107395.14,107448.17,513,0,,
2025-06-27 09:20:00,107448.44,107452.44,107381.87,107394.13,487,0,,
2025-06-27 09:25:00,107394.93,107397.79,107289.89,107328.13,664,0,,
2025-06-27 09:30:00,107328.13,107414.27,107296.19,107408.07,567,0,,
2025-06-27 09:35:00,107408.75,107445.43,107389.07,107395.95,481,0,,
2025-06-27 09:40:00,107395.57,107422.6,107386.69,107401.62,404,0,,
2025-06-27 09:45:00,107409.0,107434.56,107368.53,107404.6,537,0,,
2025-06-27 09:50:00,107403.26,107456.62,107329.08,107446.37,553,0,,
2025-06-27 09:55:00,107446.01,107449.49,107333.11,107333.11,501,0,,
2025-06-27 10:00:00,107331.76,107396.72,107331.39,107395.93,494,0,,
2025-06-27 10:05:00,107394.99,107451.97,107351.01,107444.34,652,0,,
2025-06-27 10:10:00,107444.34,107574.99,107434.24,107569.09,724,0,,
2025-06-27 10:15:00,107568.83,107695.24,107566.84,107695.24,718,0,,
2025-06-27 10:20:00,107695.24,107811.27,107587.7,107587.7,959,0,,
2025-06-27 10:25:00,107587.7,107588.97,107382.66,107426.82,938,0,,
2025-06-27 10:30:00,107425.18,107427.51,107307.03,107322.3,1215,0,,
2025-06-27 10:35:00,107322.3,107330.28,107133.95,107142.55,1322,0,,
2025-06-27 10:40:00,107141.97,107141.97,107017.94,107047.88,1289,0,,
2025-06-27 10:45:00,107047.88,107094.23,106973.4,106989.61,1222,0,,
2025-06-27 10:50:00,106989.61,107047.21,106916.02,106934.28,1251,0,,
2025-06-27 10:55:00,106916.87,107012.0,106916.87,106929.36,1103,0,,
2025-06-27 11:00:00,106929.23,107101.62,106923.04,107019.17,1088,0,,
2025-06-27 11:05:00,107027.17,107051.32,106886.27,106962.4,1030,0,,
2025-06-27 11:10:00,106967.35,107001.62,106875.06,106940.17,896,0,,
2025-06-27 11:15:00,106936.01,106952.45,106863.85,106905.02,802,0,,
