date,open,high,low,close,volume,volume
2025-05-05 22:25:00,3330.14,3336.22,3330.06,3336.16,1534,0
2025-05-05 22:30:00,3336.16,3336.45,3334.09,3335.1,766,0
2025-05-05 22:35:00,3335.1,3337.33,3334.72,3336.63,743,0
2025-05-05 22:40:00,3336.58,3337.46,3333.93,3334.38,862,0
2025-05-05 22:45:00,3334.38,3337.02,3334.08,3334.08,804,0
2025-05-05 22:50:00,3334.02,3334.15,3331.3,3332.0,809,0
2025-05-05 22:55:00,3332.02,3333.57,3327.01,3328.6,1117,0
2025-05-05 23:00:00,3328.51,3332.5,3328.51,3331.48,532,0
2025-05-05 23:05:00,3331.48,3333.71,3331.08,3332.3,378,0
2025-05-05 23:10:00,3331.85,3332.5,3330.25,3330.57,302,0
2025-05-05 23:15:00,3330.51,3330.88,3329.93,3330.52,201,0
2025-05-05 23:20:00,3330.49,3331.06,3328.98,3330.3,306,0
2025-05-05 23:25:00,3330.32,3331.93,3329.47,3331.31,254,0
2025-05-05 23:30:00,3331.18,3333.12,3330.32,3332.92,290,0
2025-05-05 23:35:00,3332.95,3333.47,3331.45,3332.77,238,0
2025-05-05 23:40:00,3332.87,3333.46,3332.29,3332.32,190,0
2025-05-05 23:45:00,3332.32,3332.36,3331.17,3331.4,229,0
2025-05-05 23:50:00,3331.4,3333.25,3331.09,3333.17,206,0
2025-05-05 23:55:00,3333.17,3334.4,3332.75,3333.73,294,0
2025-05-06 01:00:00,3335.53,3337.68,3332.93,3333.03,289,0
2025-05-06 01:05:00,3333.03,3333.61,3330.3,3330.3,264,0
2025-05-06 01:10:00,3330.3,3331.19,3327.83,3329.73,334,0
2025-05-06 01:15:00,3329.93,3331.93,3329.48,3329.6,148,0
2025-05-06 01:20:00,3329.6,3329.6,3327.31,3327.52,144,0
2025-05-06 01:25:00,3327.59,3329.54,3327.19,3328.5,365,0
2025-05-06 01:30:00,3328.58,3330.08,3328.53,3330.03,261,0
2025-05-06 01:35:00,3330.03,3331.09,3329.1,3331.09,180,0
2025-05-06 01:40:00,3330.99,3332.85,3330.7,3331.47,279,0
2025-05-06 01:45:00,3331.47,3332.56,3330.33,3331.85,242,0
2025-05-06 01:50:00,3331.85,3332.61,3330.29,3331.15,300,0
2025-05-06 01:55:00,3331.13,3332.37,3330.14,3330.5,269,0
2025-05-06 02:00:00,3330.5,3332.9,3329.26,3332.87,333,0
2025-05-06 02:05:00,3332.84,3333.0,3331.89,3332.05,279,0
2025-05-06 02:10:00,3332.05,3334.82,3330.45,3331.71,453,0
2025-05-06 02:15:00,3331.73,3333.69,3328.7,3331.38,510,0
2025-05-06 02:20:00,3331.38,3333.1,3329.85,3333.07,364,0
2025-05-06 02:25:00,3333.08,3334.16,3331.83,3332.08,276,0
2025-05-06 02:30:00,3332.08,3332.58,3331.27,3332.56,186,0
2025-05-06 02:35:00,3332.59,3333.94,3332.45,3332.52,280,0
2025-05-06 02:40:00,3332.48,3333.56,3332.04,3333.14,141,0
2025-05-06 02:45:00,3333.19,3334.28,3332.54,3334.16,202,0
2025-05-06 02:50:00,3334.16,3334.35,3333.32,3333.52,283,0
2025-05-06 02:55:00,3333.54,3334.95,3330.21,3333.88,518,0
2025-05-06 03:00:00,3333.91,3334.23,3332.1,3332.11,704,0
2025-05-06 03:05:00,3332.11,3333.81,3331.87,3333.74,703,0
2025-05-06 03:10:00,3333.74,3333.84,3332.4,3332.99,777,0
2025-05-06 03:15:00,3332.99,3333.04,3328.55,3328.59,887,0
2025-05-06 03:20:00,3328.59,3329.67,3323.44,3326.12,1204,0
2025-05-06 03:25:00,3326.08,3326.31,3323.82,3324.68,846,0
2025-05-06 03:30:00,3324.7,3328.51,3324.6,3328.34,738,0
2025-05-06 03:35:00,3328.34,3328.82,3325.27,3326.36,687,0
2025-05-06 03:40:00,3326.49,3326.87,3324.59,3326.72,660,0
2025-05-06 03:45:00,3326.72,3330.09,3322.99,3326.21,977,0
2025-05-06 03:50:00,3326.21,3328.27,3325.77,3326.74,855,0
2025-05-06 03:55:00,3326.77,3329.58,3325.66,3329.38,858,0
2025-05-06 04:00:00,3329.42,3350.14,3329.42,3349.59,3179,0
2025-05-06 04:05:00,3349.6,3359.17,3345.94,3358.76,2491,0
2025-05-06 04:10:00,3358.74,3364.69,3357.41,3361.73,2208,0
2025-05-06 04:15:00,3361.78,3362.85,3355.46,3361.6,1817,0
2025-05-06 04:20:00,3361.59,3362.53,3357.0,3359.27,1368,0
2025-05-06 04:25:00,3359.27,3360.66,3354.68,3356.93,1147,0
2025-05-06 04:30:00,3356.93,3365.6,3355.35,3363.86,1578,0
2025-05-06 04:35:00,3363.88,3370.17,3361.08,3369.51,1949,0
2025-05-06 04:40:00,3369.52,3381.51,3368.61,3378.11,2076,0
2025-05-06 04:45:00,3378.18,3381.23,3377.18,3377.5,1184,0
2025-05-06 04:50:00,3377.5,3379.74,3374.17,3374.56,1206,0
2025-05-06 04:55:00,3374.57,3379.48,3372.1,3379.48,1472,0
2025-05-06 05:00:00,3379.48,3381.1,3375.46,3377.49,1110,0
2025-05-06 05:05:00,3377.46,3383.84,3375.11,3380.74,1264,0
2025-05-06 05:10:00,3380.67,3383.53,3377.87,3382.0,1563,0
2025-05-06 05:15:00,3382.03,3385.38,3380.33,3385.01,1266,0
2025-05-06 05:20:00,3384.94,3386.9,3380.23,3380.74,1181,0
2025-05-06 05:25:00,3380.74,3383.5,3377.78,3381.95,852,0
2025-05-06 05:30:00,3381.95,3382.51,3373.46,3376.01,1131,0
2025-05-06 05:35:00,3376.01,3376.01,3364.28,3372.44,1937,0
2025-05-06 05:40:00,3372.44,3372.44,3365.83,3366.74,1181,0
2025-05-06 05:45:00,3366.74,3367.28,3357.08,3357.26,1733,0
2025-05-06 05:50:00,3357.43,3363.8,3357.43,3360.48,1217,0
2025-05-06 05:55:00,3360.48,3362.18,3356.19,3358.22,1004,0
2025-05-06 06:00:00,3358.22,3359.92,3354.04,3354.19,1121,0
2025-05-06 06:05:00,3354.19,3357.66,3352.08,3357.45,1116,0
2025-05-06 06:10:00,3357.45,3361.76,3355.56,3356.56,1787,0
2025-05-06 06:15:00,3356.56,3366.08,3355.49,3364.47,1228,0
2025-05-06 06:20:00,3364.47,3372.3,3362.34,3362.86,1232,0
2025-05-06 06:25:00,3362.86,3365.58,3361.77,3362.39,932,0
2025-05-06 06:30:00,3362.39,3363.36,3360.33,3361.8,839,0
2025-05-06 06:35:00,3361.81,3362.57,3358.93,3360.31,529,0
2025-05-06 06:40:00,3360.31,3361.69,3359.12,3359.91,480,0
2025-05-06 06:45:00,3359.88,3361.49,3355.69,3361.49,631,0
2025-05-06 06:50:00,3361.49,3363.7,3361.03,3361.76,451,0
2025-05-06 06:55:00,3361.76,3363.9,3359.67,3360.14,704,0
2025-05-06 07:00:00,3360.14,3361.24,3358.07,3358.49,656,0
2025-05-06 07:05:00,3358.49,3359.77,3356.69,3357.86,676,0
2025-05-06 07:10:00,3357.84,3360.63,3357.57,3360.16,388,0
2025-05-06 07:15:00,3360.04,3361.39,3358.65,3359.18,532,0
2025-05-06 07:20:00,3359.07,3360.43,3358.63,3359.67,369,0
2025-05-06 07:25:00,3359.67,3360.28,3356.06,3356.84,540,0
2025-05-06 07:30:00,3356.84,3359.39,3356.0,3358.4,510,0
2025-05-06 07:35:00,3358.4,3359.83,3356.83,3357.8,502,0
2025-05-06 07:40:00,3357.81,3361.69,3356.73,3360.43,667,0
2025-05-06 07:45:00,3360.43,3365.19,3360.29,3363.88,608,0
2025-05-06 07:50:00,3363.88,3365.87,3359.44,3363.93,901,0
2025-05-06 07:55:00,3363.76,3364.07,3361.94,3362.95,373,0
2025-05-06 08:00:00,3362.95,3363.75,3362.1,3362.78,409,0
2025-05-06 08:05:00,3362.86,3362.86,3360.51,3360.52,523,0
2025-05-06 08:10:00,3360.5,3362.63,3357.61,3358.41,578,0
